filename	 open/close count	 read count	 read bytes	 write count	 write bytes
final/m101_uncorrected_area.fits	1	0	0	4763	39602880
projdir/hdu0_2mass-atlas-990214n-j1110032_area.fits	19	2591	21174912	514	4199040
corrdir/hdu0_2mass-atlas-990214n-j1180256_area.fits	3	516	4214400	512	4181760
images-rawdir.tbl.tmp	2	2	5173	1	5173
diffdir/diff.000000.000003_area.fits	1	3	18432	21	158400
corrdir/hdu0_2mass-atlas-990214n-j1100256.fits	3	521	4252800	517	4222080
corrdir/hdu0_2mass-atlas-990214n-j1200244.fits	3	523	4272768	519	4239360
diffdir/diff.000000.000009.fits	3	35	264576	31	239040
projdir/hdu0_2mass-atlas-990214n-j1190032.fits	21	2600	21285376	515	4210560
diffdir/diff.000001.000003_area.fits	1	3	12672	20	155520
projdir/hdu0_2mass-atlas-990214n-j1100256.fits	17	2088	17039744	517	4222080

